作物代碼,作物名稱,登記分類名稱,病蟲害名稱,農藥中文普通名稱,農藥含量,劑型,每公頃每次用量,稀釋倍數,使用時期,施藥間隔,施用次數,安全採收期_天,施用方法,注意事項,說明,核准日期,廠商名稱
A010101,水稻,水稻,椿象類,加保利,50(%) (w/w),WP,0.9-1.3公斤,900,害蟲發生時開始施藥,-,-,21,-,,延伸使用,1070214,
A010101,水稻,水稻,椿象類,加保利,85(%) (w/w),WP,0.5-0.7公斤,1700,害蟲發生時開始施藥,-,-,21,-,,延伸使用,0980826,
A010101,水稻,水稻,葉蟬類,加保利,39.5(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,-,-,-,-,,延伸使用,1070214,
A010101,水稻,水稻,葉蟬類,加保利,40(%) (w/w),SC,1.1-1.5公升,800,害蟲發生時開始施藥,-,-,-,-,,延伸使用,1070214,
A010101,水稻,水稻,葉蟬類,加保利,44.1(%) (w/w),SC,0.9-1.3公升,900,害蟲發生時開始施藥,-,-,-,-,,延伸使用,1070214,
A010101,水稻,水稻,葉蟬類,加保利,40(%) (w/w),UL,2.5公升,,,-,-,15,用手提乾電池式ULV噴藥器，每隔3-4公尺順風向成90度或逆風後退成180度方式噴射,地面超低容量撒佈防治水稻浮塵子,,,
A010101,水稻,水稻,葉蟬類,加保利,50(%) (w/w),WP,0.85-1.2公斤,1000,害蟲發生時開始施藥,-,-,-,-,,延伸使用,1070214,
A010101,水稻,水稻,葉蟬類,加保利,85(%) (w/w),WP,0.5-0.7公斤,1700,害蟲發生時開始施藥,-,-,-,-,,延伸使用,0980826,
A010101,水稻,水稻,黑尾葉蟬,加保利,39.5(%) (w/w),SC,1-1.5公升,200,,,,21,動力微粒噴霧機噴藥,,延伸使用,1070214,
A010101,水稻,水稻,黑尾葉蟬,加保利,39.5(%) (w/w),SC,2公升加水4公升,,插秧前後,-,-,15,1.空中施藥防治。2.落藥標準：每8平方公分應有直徑1000微米以下之落藥點51點以上,,延伸使用,1070214,
A010101,水稻,水稻,黑尾葉蟬,加保利,40(%) (w/w),SC,1-1.5公升,200,,,,21,動力微粒噴霧機噴藥,,延伸使用,1070214,
A010101,水稻,水稻,黑尾葉蟬,加保利,40(%) (w/w),SC,2公升加水4公升,,插秧前後,-,-,15,1.空中施藥防治。2.落藥標準：每8平方公分應有直徑1000微米以下之落藥點51點以上,,,,
A010101,水稻,水稻,黑尾葉蟬,加保利,44.1(%) (w/w),SC,0.8-1.2公升,250,,,,21,動力微粒噴霧機噴藥,,延伸使用,1070214,
A010101,水稻,水稻,黑尾葉蟬,加保利,44.1(%) (w/w),SC,1.9公升加水4.1公升,,插秧前後,-,-,15,1.空中施藥防治。2.落藥標準：每8平方公分應有直徑1000微米以下之落藥點51點以上,,延伸使用,1070214,
A010101,水稻,水稻,黑尾葉蟬,加保利,50(%) (w/w),WP,0.8-1.2公斤,250,,-,-,21,動力微粒噴霧機噴藥,,,0620727,
A010101,水稻,水稻,黑尾葉蟬,加保利,85(%) (w/w),WP,0.5-0.7公斤,1700,害蟲發生時開始施藥,7-10,-,21,,,,,
A010101,水稻,水稻,黑尾葉蟬,加保利,85(%) (w/w),WP,0.5-0.7公斤,420,,,,21,動力微粒噴霧機噴藥,,,,
A010101,水稻,水稻,黑尾葉蟬,加保扶,3(%) (w/w),GR,100G/每育苗箱,,於機械插秧前24小時,-,-,-,於機械插秧前24小時施用，並灑水至飽和狀態,限育苗箱秧苗使用。,,,
A010101,水稻,水稻,黑尾葉蟬,加保扶,3(%) (w/w),GR,40-60公斤,,,-,-,-,1.秧田期：播種後3天內，每平方公尺10G一次。2.本田期：本田移植後5天每公頃施用40KG1次，以控制媒介昆蟲,亦可防傳播稻縞葉枯病之媒介昆蟲,,,
A010101,水稻,水稻,大螟,加保扶,3(%) (w/w),GR,40-50公斤,-,孕穗期至齊穗期,-,-,21,-,-,延伸使用,0980826,
A010101,水稻,水稻,斑飛蝨,加保扶,3(%) (w/w),GR,,,,-,-,-,用藥量：1.秧田期：每平方公尺10G。2.本田初期：每公頃40-45KG,,,,
A010101,水稻,水稻,葉蟬類,加保扶,3(%) (w/w),GR,40-60公斤,-,害蟲發生時開始施藥,-,-,-,-,,延伸使用,0980826,
A010101,水稻,水稻,椿象類,加保扶,3(%) (w/w),GR,40-60公斤,-,害蟲發生時開始施藥,-,-,-,-,,延伸使用,0980826,
A010101,水稻,水稻,二化螟蟲,加保扶,3(%) (w/w),GR,40-50公斤孕穗-齊穗期,,害蟲發生時開始施藥,-,-,21,,,,,
A010101,水稻,水稻,水象鼻蟲,加保扶,3(%) (w/w),GR,50公克,,機械插秧前24小時內,-,-,-,將藥劑均勻撒佈於育苗箱，撒佈後用木棒輕掃，使藥劑落於土面，然後再少量灑水(應避免水流出)以免藥劑掉落或飛散,插秧後，本田水位保持2-3公分，為期四至五天,,0810804,國際技術社股份有限公司
A010101,水稻,水稻,水象鼻蟲,加保扶,3(%) (w/w),GR,60公斤,,水稻生育初期，成蟲每叢平均0.5隻以上時施藥1次,-,1,-,本田期處理,施藥時，稻田需保持水位約一公分。,,0820310,國際技術社股份有限公司
A010101,水稻,水稻,一點螟蟲,加保扶,3(%) (w/w),GR,40-50公斤,-,孕穗期至齊穗期,-,-,21,-,-,延伸使用,0980826,
A010101,水稻,水稻,負泥蟲,加保扶,3(%) (w/w),GR,40-60公斤,,生長初期,-,-,-,,,,,
A010101,水稻,水稻,稻心蠅,加保扶,3(%) (w/w),GR,30公斤,,,-,-,15,1.晚植稻應提早在插秧後15天開始施藥。2.孕穗期劍葉有害狀時才施藥，否則可免施藥,,,,
A010101,水稻,水稻,褐飛蝨,加保扶,3(%) (w/w),GR,40-60公斤,,害蟲發生時開始施藥,-,-,-,,,,,
A010101,水稻,水稻,薊馬類,加保扶,3(%) (w/w),GR,40-60公斤,-,害蟲發生時開始施藥,-,-,-,-,,延伸使用,0980826,
A010101,水稻,水稻,鐵甲蟲,加保扶,3(%) (w/w),GR,60公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,0980826,
A010101,水稻,水稻,稻蝨類,加保扶,3(%) (w/w),GR,40-60公斤,-,害蟲發生時開始施藥,-,-,-,-,,延伸使用,0980826,
A010101,水稻,水稻,稻象鼻蟲,加保扶,3(%) (w/w),GR,60公斤,-,害蟲發生時施藥1次,-,1,-,施藥時，稻田需保持水位約1公分。,-,延伸使用,0980826,
A010101,水稻,水稻,稻熱病,加普胺,4(%) (w/w),GR,30G,,插秧前1天施藥,,-,-,撒後用掃把輕掃秧苗，使藥掉落，再澆水每箱500公撮,限育苗箱秧苗使用。,,0880614,台灣拜耳股份有限公司
A010101,水稻,水稻,穗稻熱病,加普胺,15(%) (w/w),SC,0.6公升,2000,抽穗前7天及齊穗期各1,,2,14,,,,0880614,台灣拜耳股份有限公司
A010101,水稻,水稻,葉稻熱病,加普胺,15(%) (w/w),SC,0.5公升,2000,病害發生初期開始施藥,10,2,14,,,,0880614,台灣拜耳股份有限公司
A010101,水稻,水稻,二化螟蟲,加福松,50(%) (w/w),EC,0.8-1.2公升秧田至孕穗,1000,,,,21,孕穗至齊穗期用1.2L,,,0630529,日商三共股份有限公司台北分公司
A010101,水稻,水稻,水象鼻蟲,可尼丁,0.5(%) (w/w),GR,50公克,,插秧前24小時。,,,,,1.插秧前24小時，將藥劑均勻撒布於育苗箱，並灑水至飽和狀態。2.限育苗箱使用。,,1000317,立農化學股份有限公司
A010101,水稻,水稻,稻蝨類,可尼丁,0.5(%) (w/w),GR,本田：40-60公斤/公頃,,害蟲發生時開始施藥。,7,,,,本田使用：有施藥時稻田需保持水位約1公分。,延伸使用,1050505,
